;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
1;Abelia x grandiflora;Abélia, Abélia-da-china;Caprifoliaceae;Arbustos, Cercas Vivas;Mediterrâneo, Subtropical, Temperado;Ásia, China;1.2 a 1.8 metros;Sol Pleno;Perene
2;Abutilon megapotamicum;Sininho, Chapéu-de-cardeal, Lanterna-chinesa, Lanterninha-japonesa;Malvaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores Perenes, Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
3;Abutilon striatum;Lanterna-chinesa, Campainha, Lanterna-japonesa, Sininho;Malvaceae;Arbustos, Arbustos Tropicais;Equatorial, Mediterrâneo, Subtropical, Tropical;América Central, Guatemala;1.2 a 1.8 metros;Sol Pleno;Perene
4;Acalypha hispida;Acalifa-macarrão, Macarrão, Rabo-de-gato, Rabo-de-gato-vermelho;Euphorbiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;Ásia, Índia;1.8 a 2.4 metros, 2.4 a 3.0 metros;Luz Difusa, Meia Sombra;Perene
5;Acalypha reptans;Rabo-de-gato, Acalifa, Acalifa-rasteira;Euphorbiaceae;Flores Perenes, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;Ásia, Índia;0.1 a 0.3 metros, 0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Perene
6;Acalypha wilkesiana;Crista-de-peru, Acalifa, Rabo-de-macaco;Euphorbiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Indonésia, Oceania;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
7;Acanthocereus tetragonus;Cacto-triangular, Cacto-castelo-de-fada, Cacto-castelo-de-fadas, Cacto-castelo-de-princesas, Cacto-castelo-de-princesa, Cacto-catedral;Cactaceae;Cactos e Suculentas, Plantas Esculturais;Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Tropical;América Central, América do Norte, América do Sul, Estados Unidos, México;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
8;Acca sellowiana;Feijoa, Goiaba-da-serra, Goiaba-serrana, Goiaba-ananás, Goiaba-abacaxi, Goiaba-do-mato, Goiaba-do-campo, Goiaba-crioula, Araçá-do-rio-grande, Guarobí;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores Frutíferas, Frutas e Legumes;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Sul, Argentina, Brasil, Paraguai, Uruguai;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
9;Acer palmatum;Bôrdo-japonês, Ácer, Ácer-japonês, Ácer-palmato, Bordo-japonês-vermelho;Sapindaceae;Árvores, Árvores Ornamentais, Bonsai;Continental, Mediterrâneo, Subtropical, Temperado;Ásia, China, Coréia do Sul, Japão;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Sol Pleno;Perene
10;Achimenes grandiflora;Violeta-pendente, Violeta-de-cordão;Gesneriaceae;Flores Perenes;Equatorial, Subtropical, Tropical;América do Norte, México;menos de 15 cm;Luz Difusa, Meia Sombra;Perene
11;Acnistus arborescens;Fruta-do-sabiá, Fruta-de-sabiá, Marianeira, Espora-de-galo, Marinera, Fumo-indígena, Tabaco-do-diabo;Solanaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Frutíferas, Árvores Ornamentais, Bonsai;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Norte, América do Sul, Antilhas, Bolívia, Brasil, Colômbia, Costa Rica, Cuba, Equador, Guiana, Guiana Francesa, Honduras, México, Nicarágua, Peru, Porto Rico, Suriname, Venezuela;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
12;Acorus gramineus;Acorus, Mini-cálamo-do-japão, Acoro-gramíneo, Junco-japonês;Acoraceae;Folhagens, Forrações à Meia Sombra, Gramados e Forrações, Plantas Aquáticas, Plantas Marginais, Plantas Palustres;Oceânico, Subtropical, Temperado, Tropical;Ásia, Birmânia, China, Coréia do Norte, Coréia do Sul, Filipinas, Índia, Japão, Oceania, Tailândia, Taiwan;0.1 a 0.3 metros, 0.3 a 0.4 metros, menos de 15 cm;Meia Sombra, Sol Pleno;Perene
13;Actinidia deliciosa;Kiwi, iwizeiro, Quiuí, Quivi;Actinidiaceae;Trepadeiras;Subtropical, Tropical;Ásia, China;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
14;Adansonia digitata;Baobá, Árvore-da-vida, Embondeiro, Imbondeiro, Calabaceira, Árvore-dos-mil-anos, Árvore-garrafa;Malvaceae;Árvores, Árvores Frutíferas, Árvores Ornamentais;Equatorial, Semi-árido, Tropical;África;acima de 12 metros;Sol Pleno;Perene
15;Adenium boehmianum;Veneno-de-caçador, Rosa-do-deserto, Lírio-impala;Apocynaceae;Arbustos, Arbustos Tropicais, Cactos e Suculentas, Folhagens, Plantas Esculturais, Plantas Tóxicas;Semi-árido, Tropical;África, Angola, Botsuana, Namíbia;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
